ents,freq
artigo 58 da Lei n. º 8. 666 / 98,41
"artigos 58, Ille 67, caput e 81º da Lei nº 8. 666 / 98",41
Súmula 69 do TST,41
Súmula 37 do STJ,41
"artigo 345, |, do CPC",41
súmula nº 24 deste E. TRT,41
artigo 844 do Diploma Consolidado,40
OJ 363 da SDI - 1,40
sum 305 do C. TST,39
$,39
Código Civil / 2002,39
artigo 14 do CPC de 2015,39
Lei de Introdução s Normas do Direito Brasileiro,39
"artigo 5º, X, da CFRB / 88",39
Orientação Jurisprudencial nº 400 da E. SDI - 1 do C. TST,38
"CF, art. 5º, XLV, 1º parte",38
LINDB,38
Res. 208 / 2016,38
Carta Política,38
6021,38
art. 1. 218 da Lei nº 5. 869,38
"art. 67, parágrafo 1º, da Lei 8666 / 93",38
"SUMULA 331, IV, DO TST - ADC",38
Código de Defesa do Consumidor,38
Lei nº 10. 537,37
processo,37
art. 133 da CRFB / 88,37
Lei no 7. 713,36
"Súmula 368, III, TST",36
71240,36
Orientação Jurisprudencial nº 363 da E. SDI - 1 do C. TST,36
Súmula 4 do TRT / RJ,36
Instrução Normativa nº 1. 127 / 2011 da Receita Federal,36
1760,36
Súmula 362 do STJ,36
"Orientação Jurisprudencial 400, da SDlI - 1",36
L. 13. 467 / 2017,35
artigo 942 do CCB,35
art. 1º da Lei nº 9. 494 / 97,35
Lei 9. 637 / 98,35
- 79400 - 10. 2011. 5. 21. 0021,35
artigo 5º da CRFB,35
382,35
Lei 13. 134 / 2015,35
Lei 8666 / 93,34
"artigo 485, VI, do novo CPC",34
2007,34
art. 4 / 7 da CLT,34
Lei n. 7. 102 / 83,34
2009,34
0006,34
s 363 e 400 da SDI - 1,34
Súmula 13 do E. TRT da 1º Região,34
"artigo 125, Il, do CPC",34
Súmula 380 da Corte Superior Trabalhista,34
0021,34
EC nº 62 / 2009,33
artigo 134 da CLT,33
art. 170 da CF,33
105 de 2015,33
153040,33
"aris. 159, 1518 e 1523 do CC / 1916",33
CRFB,33
400,33
artigo 467 do Diploma Consolidado,33
"art. 12, - a -, da Lei 6. 019",33
0281,33
76,33
Orientação Jurisprudencial 191 da SDI - I do C. TST,33
"art. 1º, da CF",33
L. 5584 / 1970,32
RE 760. 931 / DF 2017,32
L. 5. 584 / 70,32
RECURSO EXTRAORDINÁRIO 760. 931,32
IN 1558 / 2015,32
"Súmula nº. 331, IV e Vido C. TST.",32
"OJ 383, SBDI - 1 / TST",32
OJ 421 da SDI - 1,32
Tese Jurídica Prevalecente nº. 01 do TRT1,32
59,32
Lei 7. 998 / 90,32
"artigos 389, 402 e 404 do Código Civil",32
artigo 186 do CCB / 2002,32
artigo 2º do Diploma Consolidado,32
L. 1060 / 50,32
súmula nº 368,31
AIRR - 4143 - 82. 2010. 5. 10. 0000,31
Res. 175 / 2011,31
Súmula Vinculante nº 53,31
ADI 4. 425,31
RO,31
NCPC,31
925,31
Instrução Normativa 05 / 2017,31
IN 41 / 2018 do TST,31
"art. 1º, Lei 12. 506 / 11",31
artigo 2º da Medida Provisória 808 / 2017,31
0101863,30
"art. 240, 8 1º, do CPC",30
"artigo 985, Il do CPC",30
IRDR nº 0103545 - 39. 2020. 5. 01. 0000,30
Medida Provisória nº 2. 180 - 35,30
leinº 7. 115,30
"art. 161, 8 1º, do Código Tributário Nacional",30
"art. 5º, XXII, da CRFB",30
de Preços ao Consumidor Amplo Especial,30
artigos 429 e 430 do CPC / 2015,30
2008,30
ARTIGOS 137 E 145 DA CLT,30
"art. 369, CPC / 2015",30
Lei nº 8. 620 / 93,30
Reclamação 22. 012,30
artigo 22 da Lei 8. 906 / 94,30
art. / 91 - A da CLT,30
Lei n. 6. 019 / / 4,30
SELIC,30
6º,30
art. 5º da Lei n. º 11. 960,29
10,29
Estatuto da OAB,29
"artigo 30, |,'a'da Lei 8. 212 / 91",29
RE 870947 / SE,29
16,29
art. 159 do antigo CCB,29
"373, Il, da Lei Adjetiva Civil",29
Portaria MF nº 15,29
Súmula 24 do TRT1,29
RO 2258 / 00,29
"aris. 212 e seguintes, CCB",29
"art. 103, 8 2º, da CF",29
ADlIs 5. 867 e 6. 021,29
"art. 5º, V, da CRFB",29
Res,29
"artigo 67, capute 8 1º, da Lei nº 8. 666 / 93",29
LC 123 / 2006,29
"82º, do art. 24, da Lei 12. 101 / 2009",29
L. 5584 / 70,29
"Constituição Federal, art. 114, Ville CLT, art. 876, parágrafo único",29
Súmula 254 do STF,28
EMENDA CONSTITUCIONAL Nº 62 / 2009,28
"art. 100, 8 1º, da CRFB",28
art. 159 do Código Civil,28
"art. 926, caput, do CPC",28
Código de Processo Civil de 2015,28
art. 600 da CLT,28
artigo 8683 da CLT,28
art. 2. º da CLT,28
"art. 100, S 1º, da CRFB",28
49,28
EC nº 30 / 2000,28
art. 591 do novo Código Civil,28
artigo 161 do CTN,28
artigo 98 e seguintes do CPC,28
art. 78 do ADCT,28
1046,28
ADI 493 - 0 / DF,28
arts. 406 e 591 do CC,28
425,28
"art. 100, 812, da CRFB",28
021,28
"art. 192, 8 3º, da Constituição Federal",28
OJ nº 363 da SBDlI - 1,28
Lei 8. 212 / 91,28
"art. 927, |, do CPC",28
Arglnc,28
"arts. 186, 927, 942 e 933 do CC / 2002",27
"aris. 652, d "" e 883 da CLT",27
lei nº 200 / 67.,27
art. 406 do CC,27
lei 12350 / 2010,27
"ART. 139, IV, DO CPC / 15",27
SÚMULA Nº 41,27
8 1º da Lei 8. 177 / 1991,27
"art. 3º, III, da Instrução Normativa 39 / 2016 do TST",27
Ação Cautelar 3. 764 MC / DF,27
RE 8 / 0947,27
AIRO,27
OJ 7 do Pleno do C. TST,27
$ 2º do artigo 39 da CLT,27
EC 45 / 04,27
RR - 161 - 29. 2011. 5. 04. 0732,27
28,26
Súmula 17,26
Reclamação 26. 175,26
RE Nº 590. 751,26
Reclamação ( RCL ) 22012,26
2003,26
CF,26
"art. 840, 8 1º, da CLT",26
